source_file,direction,source_term,context,proposed_translation,term_type,status,notes
katturaigal/moodupani.md,tamil_to_english,முதலைப்பிடி,"An unyielding grip conventionally compared to a crocodile's bite",crocodile's grip,idiom,approved,"Literal image retains the polemical force."
katturaigal/moodupani.md,tamil_to_english,ஏகபோக மிராசு பாத்யதை,"Exclusive advantage treated as hereditary property or entitlement",monopolistic hereditary privilege,political_economic_term,approved,"Combines monopoly with the historical language of mirasi right."
katturaigal/moodupani.md,tamil_to_english,சொரணை,"Awakened sense of shame or self-regard",realization that it affronted self-respect,cultural_term,approved,"Expanded because no single English noun carries the source's emotional meaning."
katturaigal/moodupani.md,tamil_to_english,வேதியக் கூட்டம்,"Priestly or Brahminical group presented as exploiting labouring communities",priestly group,caste_term,approved,"Preserves function without overloading the sentence with transliteration."
katturaigal/moodupani.md,tamil_to_english,பணம் பாதாளம்வரை பாய்கிறது,"Proverb that money reaches even the deepest or inaccessible realm",money flows even into the underworld,proverb,approved,"Retains the source's parallel with Parliament."
katturaigal/avanum_manithan.md,tamil_to_english,கனம்,"Colonial-era honorific repeatedly applied to the minister",the Honourable,honorific,approved,"Preserves the article's increasingly ironic repetition."
katturaigal/avanum_manithan.md,tamil_to_english,இரந்தும் உயிர்வாழ்தல் வேண்டின்,"Tirukkural condemnation of a world in which begging is needed to live",if one must live by begging,literary_allusion,approved,"The accompanying curse upon the creator is retained."
katturaigal/avanum_manithan.md,tamil_to_english,இராம ராஜ்யம்,"Idealized righteous rule invoked ironically amid starvation",Ram Rajya,political_religious_term,approved,"Transliteration preserves the irony and period vocabulary."
katturaigal/avanum_manithan.md,tamil_to_english,முகாரி பாடுகிறார்,"Both singing the plaintive raga Mukhari and lamenting sorrowfully",sings in the plaintive raga Mukhari,musical_pun,approved,"The raga name and rhetorical mood are both made explicit."
katturaigal/avanum_manithan.md,tamil_to_english,அடாணா தொடங்கினாலொழிய நாட்டின் மோகனம் நிலைக்காது,"Carnatic raga sequence punning on forceful action and the country's charm","unless they begin an Adana of action, the country's Mohanam will not endure",musical_pun,needs_review,"The puns are culturally dense; retained raga names avoid inventing a single definitive paraphrase."
katturaigal/mathuvilakku_naadag.md,tamil_to_english,மதுவிலக்கு நாடகம்,"Prohibition policy characterized as a deceptive political performance",prohibition drama,political_metaphor,approved,"Repeated title metaphor is preserved throughout."
katturaigal/mathuvilakku_naadag.md,tamil_to_english,ஆடி 18,"Eighteenth day of Aadi associated with river bathing and celebration",Aadi Perukku,cultural_festival,approved,"Conventional festival name makes the Kaveri reference intelligible."
katturaigal/mathuvilakku_naadag.md,tamil_to_english,தீர்த்த ஸ்நானம்,"Ritual immersion in sacred water",sacred bath,ritual_term,approved,"Plain gloss suits the contrast with immersion in liquor."
katturaigal/mathuvilakku_naadag.md,tamil_to_english,நாணயமான முறையில்,"Honest, fair, and principled administration",honestly,ethical_term,approved,"Not a reference to coinage in this context."
katturaigal/mathuvilakku_naadag.md,tamil_to_english,பச்சைக் குடிகாரர்கள்,"Inveterate or unabashed drinkers",hardened drinkers,idiom,approved,"Avoids the misleading literal green drinkers."
katturaigal/kaelviyum_bathilum091147.md,tamil_to_english,மரியாதைக் கோடு,"Expected boundary or standard governing civil questions",standard of courtesy,social_term,approved,"Natural English captures both limit and decorum."
katturaigal/kaelviyum_bathilum091147.md,tamil_to_english,கதர்ச் சட்டையிலே காரல்மார்க்ஸ் புத்தகம்,"Image of Marxist doctrine enclosed within Congress khadi politics","a Karl Marx book inside a khadi shirt",political_metaphor,approved,"Literal juxtaposition preserves the satire."
katturaigal/kaelviyum_bathilum091147.md,tamil_to_english,தமாஷா வரி,"Colonial administrative levy on theatre and cinema admissions",entertainment tax,historical_term,approved,"Meaning is clearer than transliterating tamasha tax."
katturaigal/kaelviyum_bathilum091147.md,tamil_to_english,சட்டியை உடைக்கவில்லை,"Political metaphor for not yet taking the decisive destructive step",have not yet broken the pot,political_metaphor,needs_review,"Retained literally because the answer explicitly attributes the analogy to Achariyar."
katturaigal/kaelviyum_bathilum201147.md,tamil_to_english,சுதர்மம்,"A social rule or advantage demanded for one's own group, contrasted with equality for all",privilege for their own group,political_term,needs_review,"Interpretive rendering follows the explicit opposition to `சமதர்மம்`."
katturaigal/kaelviyum_bathilum201147.md,tamil_to_english,திராவிடர் ஒரு குறிச்சொல்,"Dravidian defined as an ideological signifier rather than a claim of biological purity",Dravidian is a signifying term,political_definition,approved,"Preserves the answer's central clarification."
katturaigal/kaelviyum_bathilum201147.md,tamil_to_english,தளபதி / தளர்ப்பதி,"Pun changing commander into a leader weakened in body and mind","Thalapathi / Thalarpathi",wordplay,approved,"Tamil forms are retained and immediately glossed."
katturaigal/kaelviyum_bathilum201147.md,tamil_to_english,பூதேவர் / பூசுரர்,"Honorific caste claims presenting Brahmins as gods upon earth","god upon earth / divinity upon earth",caste_religious_term,approved,"Rendered literally to preserve the irony."
katturaigal/corp_alangolam.md,tamil_to_english,ஸ்தல ஸ்தாபன விசாரணைக் கமிட்டி,"Committee examining municipal or local-body administration",local-bodies inquiry committee,administrative_term,approved,"Functional rendering is clearer than transliterating the period expression."
katturaigal/corp_alangolam.md,tamil_to_english,நிரந்தரக் கமிட்டி,"Permanent municipal committee with continuing responsibility",standing committee,administrative_term,approved,"Uses the standard English municipal term."
katturaigal/corp_alangolam.md,tamil_to_english,பத்திரிகைக் கிளர்ச்சி,"Public campaign or agitation conducted through newspapers",press agitation,media_term,approved,"Preserves the committee's disapproving characterization."
katturaigal/corp_alangolam.md,tamil_to_english,பூச்சாண்டி காட்டியது,"Frightening people with a threatening spectre",frighten people with the spectre,idiom,approved,"Retains the image while fitting the threatened dissolution."
katturaigal/sarintha_samrajyam_1.md,tamil_to_english,வேட்டை நிலம்,"Colonial territories treated as fields available for predatory extraction",hunting grounds,imperial_metaphor,approved,"Literal metaphor preserves the criticism of empire."
katturaigal/sarintha_samrajyam_1.md,tamil_to_english,முடிதரித்த மன்னன்,"Constitutional monarch possessing a crown but no governing power",crowned monarch,political_term,approved,"The following ornamental-figure explanation supplies the constitutional context."
katturaigal/sarintha_samrajyam_1.md,tamil_to_english,சமதர்மப் பாதை,"Economic and social path beyond capitalism toward equality",path of social justice,political_term,needs_review,"Avoids mechanically equating the source term with one fixed party programme."
katturaigal/sarintha_samrajyam_1.md,tamil_to_english,ஆரம்ப சூரத்தனம்,"Initial display of bold martial prowess that does not endure",early display of prowess,idiom,approved,"Used of the short-lived effect of blitzkrieg."
katturaigal/sarintha_samrajyam_1.md,tamil_to_english,பலப்பரிட்சை,"Confrontation in which rival powers test their strength",test of strength,diplomatic_term,approved,"Fits the escalation after failed negotiation."
katturaigal/moodupani_vilaga.md,tamil_to_english,மூடுபனி,"Veil of misinformation preventing the public from seeing Soviet conditions",fog,political_metaphor,approved,"Title metaphor is maintained throughout."
katturaigal/moodupani_vilaga.md,tamil_to_english,சமதர்மம்,"Broad ideal of social and economic equality used by the Self-Respect movement",social equality,political_term,approved,"Distinguished from the article's explicit historical label communist."
katturaigal/moodupani_vilaga.md,tamil_to_english,ஒருவன் உழைப்பில் ஒருவன் நோகாமல் சாப்பிடுகிறது,"One person consuming the product of another's labour without sharing the hardship",one man eats from another's labour without suffering,social_critique,needs_review,"OCR is damaged but the quoted sequence and economic contrast are clear."
katturaigal/moodupani_vilaga.md,tamil_to_english,முடிக்கயிறுகள்,"Traditional doctrines described as ties that secure capitalism through caste",crown ropes of capitalism,political_metaphor,needs_review,"Literal rendering preserves the unusual printed image; exact idiomatic force is uncertain."
katturaigal/moodupani_vilaga.md,tamil_to_english,சிங்கக் கூட்டம்,"Revolutionary masses rising together with leonine force",a pride of lions,political_metaphor,approved,"Natural English collective preserves the roar and attack imagery."
katturaigal/vignana_olimun.md,tamil_to_english,கற்பனை / யூகம் / உத்தேசம்,"Overlapping terms for imaginative conjecture or explanatory supposition",hypothesis / conjecture / supposition,philosophical_term,approved,"Varied English terms preserve distinctions made in the opening argument."
katturaigal/vignana_olimun.md,tamil_to_english,ஏகேசுவரவாதம்,"Doctrine asserting one God",monotheism,religious_term,approved,"Standard English philosophical term."
katturaigal/vignana_olimun.md,tamil_to_english,மாக்களாக்குதல்,"Reducing human beings to an animal-like or brutish condition",reducing human beings to beasts,wordplay,approved,"Retains the contrast between `மக்கள்` and `மாக்கள்`."
katturaigal/vignana_olimun.md,tamil_to_english,நாராசம்,"Sharp or heated iron imagined as piercing the ear",red-hot iron,idiom,needs_review,"The source conveys painful auditory revulsion; exact object sense varies lexically."
katturaigal/vignana_olimun.md,tamil_to_english,சம்சயவாதி,"Person withholding certainty on theological claims",agnostic,philosophical_term,approved,"Fits the sequence with atheist and rationalist."
katturaigal/vignana_olimun.md,tamil_to_english,உலக க்ஷமம்,"Well-being or welfare of the world",welfare of the world,ethical_term,approved,"Sanskrit-derived period expression rendered functionally."
katturaigal/veerar_veerarthan.md,tamil_to_english,கொலுவிருக்கும் தூதர்கள்,"Diplomats portrayed as ceremonially enthroned rather than productively employed",ambassadors enthroned abroad,political_satire,approved,"Preserves criticism of pomp and expense."
katturaigal/veerar_veerarthan.md,tamil_to_english,காட்டுராஜா,"Single magnate ruling an immense sparsely populated pastoral property",landed magnate,social_metaphor,approved,"Avoids misleading literal jungle king while preserving concentrated ownership."
katturaigal/veerar_veerarthan.md,tamil_to_english,நிறத்திமிர்,"Arrogant racial hierarchy founded upon skin colour",racial arrogance,political_term,approved,"Repeated consistently as the article's central target."
katturaigal/veerar_veerarthan.md,tamil_to_english,சூடு கொடுத்தார்,"Delivered a forceful verbal rebuke",delivered a fitting rebuke,idiom,approved,"Retains force without a misleading literal heat image."
katturaigal/veerar_veerarthan.md,tamil_to_english,பச்சையாகப் பேசியிருக்கக் கூடாது,"Spoken without diplomatic concealment or softening",should not have spoken so bluntly,idiom,approved,"Natural English preserves criticism of explicit speech."
katturaigal/puliyana_kathai.md,tamil_to_english,பூவை,"Poetic term for a young woman, with an accompanying flower association",maiden,poetic_term,approved,"Supports the title's transformation from delicacy to tiger-like courage."
katturaigal/puliyana_kathai.md,tamil_to_english,ஆரணங்கு,"Noble or beautiful woman addressed in elevated literary diction",noble woman,poetic_term,approved,"Varied slightly by context while retaining respectful elevation."
katturaigal/puliyana_kathai.md,tamil_to_english,அனிச்சப்பூ,"Flower conventionally used as an image of extreme delicacy",anicham flower,literary_allusion,approved,"Retained with a brief descriptive cue."
katturaigal/puliyana_kathai.md,tamil_to_english,மறக்குடி மகள்,"Woman imagined as belonging to a lineage of warriors",daughter of a warrior clan,cultural_term,approved,"Preserves the praise-name created after the rescue."
katturaigal/puliyana_kathai.md,tamil_to_english,அன்புக் கயிறு,"Affection imagined as a cord capable of restraining a leader",cord of affection,political_metaphor,approved,"Retains the surprising contrast with Periyar and the young campaigners."
sirukathaigal/sudumoonchi.md,tamil_to_english,சுடுமூஞ்சி,"A colloquial insult for a person whose face habitually shows anger or displeasure",scowling face,colloquial_title,approved,"Used both as the title and Rami's recurring name for Arumuga Mudaliar."
sirukathaigal/sudumoonchi.md,tamil_to_english,உருத்திராட்சப் பூனை,"Literally a cat wearing rudraksha beads; an idiom for an outwardly pious hypocrite",rudraksha-wearing cat,idiom,approved,"Rendered literally because the religious satire depends on the image."
sirukathaigal/sudumoonchi.md,tamil_to_english,பஞ்சாட்சர அர்ச்சனை,"Five insulting names framed ironically as a five-name ritual offering",five-name offering of worship,religious_wordplay,approved,"Preserves the story's repeated ironic use of அர்ச்சனை."
sirukathaigal/sudumoonchi.md,tamil_to_english,"பழம் நழுவிப் பாலிலே விழுந்தது","An unexpected event that turns out exceptionally favourably",a fruit slipped into the milk,proverb,approved,"Literal image retained and clarified by context."
sirukathaigal/sudumoonchi.md,tamil_to_english,"மூல நட்சத்திரம் / மாமியாரை மூலையிலே","Astrological fear reinforced by a sound-play between Moolam and moolai",Moolam / send the mother-in-law to a corner,cultural_wordplay,approved,"Both the birth-star name and the pun are retained."
sirukathaigal/sudumoonchi.md,tamil_to_english,"வேதம் படித்து", "Ordinarily reading the Vedas; here also visiting the courtesan named Vedam","read Vedam",double_meaning,approved,"Quotation marks signal the concluding pun."
sirukathaigal/sudumoonchi.md,tamil_to_english,காரியவான்,"A capable operator who achieves his object; sarcastically a calculating schemer here",schemer,characterization,approved,"The ending turns Mudaliar's boast of cleverness against him."
sirukathaigal/naan_manithananaen.md,tamil_to_english,சீமான்,"A privileged landed gentleman or aristocrat in the Russian setting",nobleman,social_title,approved,"Varied with aristocrat according to sentence context."
sirukathaigal/naan_manithananaen.md,tamil_to_english,பிரபு,"A lord and member of the ruling privileged order",lord,social_title,approved,"The conclusion kills the lord within so that the human being may be born."
sirukathaigal/naan_manithananaen.md,tamil_to_english,மாதாகோவில்,"Literally Mother Church; a Christian church in this Russian setting",church,religious_term,approved,"Translated by function rather than literally."
sirukathaigal/naan_manithananaen.md,tamil_to_english,வைதீக மார்க்கம்,"The family's established orthodox religious observance",orthodox religion,religious_term,approved,"Contextually applied to Russian Christianity rather than Hindu Vaidika practice."
sirukathaigal/naan_manithananaen.md,tamil_to_english,காமவேள்,"The divinity or personification of erotic desire",god of lust,literary_term,approved,"Used figuratively for the military college's culture."
sirukathaigal/naan_manithananaen.md,tamil_to_english,தற்குறித்தனம்,"Lack of literacy and basic education among the poor",illiteracy,social_term,approved,"The narrator establishes schools to remedy it."
sirukathaigal/naan_manithananaen.md,tamil_to_english,ஞானோதயஸ்தலம்,"A place where knowledge and moral awakening dawn",place of enlightenment,philosophical_term,approved,"Ironically describes the Siberian prison."
sirukathaigal/naan_manithananaen.md,tamil_to_english,"பிரபு இறந்ததும் மனிதன் பிறப்பான்","Moral transformation through the death of inherited class identity",when the lord dies a human being is born,central_metaphor,approved,"Preserves the story's title-bearing conclusion."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,மதுரைக்கு டிக்கட் இல்லை,"Madurai is both the worker's name and the city named in the destination phrase",No Ticket for Madurai,title_pun,approved,"The ending explains that the worker has no social access to the elite religious lecture."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,"பிரம்மச்சரியம் / கிருஹஸ்தாஸ்ரமம் / வானப்பிரஸ்தம் / சன்யாசம்","Four classical stages of life recast through a poor worker's material circumstances","celibacy / householder life / forest retirement / renunciation",religious_social_satire,approved,"Sanskrit stage names are explained in the translation rather than merely transliterated."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,ஆறணா,"Six annas in the pre-decimal currency system",six annas,historical_currency,approved,"Retained as a historical wage unit."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,வைசூரி,Smallpox,smallpox,historical_medical_term,approved,"The disease kills Periyanayaki and precipitates Madurai's third stage."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,கங்காணி,"A recruiter or overseer supplying labour to colonial plantations",labour recruiter,colonial_labour_term,approved,"Kanakasabai secures Madurai work on a Burma rubber estate."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,எச்சில் இலைகள்,"Discarded leaf plates bearing other people's food remnants",discarded leaf plates,social_image,approved,"Signals Madurai's descent into begging."
sirukathaigal/maduraikku_ticket_illai.md,tamil_to_english,"தர்மம் அர்த்தம் காமம் மோட்சம்","The four traditional aims of human life",dharma artha kama and moksha,religious_concept,approved,"Retained by name because the surrounding passage explains their doctrinal role."
sirukathaigal/theerpaliyungal.md,tamil_to_english,"துஷ்ட நிக்ரஹ சிஷ்ட பரிபாலனம்","Formula describing a ruler's duty to punish the wicked and protect the virtuous",punish the wicked and protect the good,Sanskrit_legal_formula,approved,"Translated by meaning within the narrator's joke about a magistrate's work."
sirukathaigal/theerpaliyungal.md,tamil_to_english,ருஜு,"Proof or evidence acceptable for establishing a legal fact",proof,legal_term,approved,"The conflict between formal proof and morally relevant information drives the story."
sirukathaigal/theerpaliyungal.md,tamil_to_english,தயவு தாட்சண்யம்,"Mercy or indulgent consideration that may soften strict treatment",mercy or indulgence,legal_moral_term,approved,"Used when the narrator initially sees no reason to hesitate over punishment."
sirukathaigal/theerpaliyungal.md,tamil_to_english,இலங்காதகனம்,"Hanuman's burning of Lanka in the Ramayana",burning of Lanka,literary_allusion,approved,"Used to challenge the idea that an action has one unchanging moral colour."
sirukathaigal/theerpaliyungal.md,tamil_to_english,மாங்கல்ய பிச்சை,"A wife's plea that another save her husband's life and preserve her married status",plea to save her marriage,cultural_term,approved,"Rendered with an explanatory phrase in Varadan's testimony."
sirukathaigal/theerpaliyungal.md,tamil_to_english,பிடிசோறு,"Handfuls of rice collected from multiple households for someone in need",handfuls of rice,social_practice,approved,"Describes Mahalingam feeding orphans."
sirukathaigal/theerpaliyungal.md,tamil_to_english,பொருளாதார பேத அமைப்பு முறை,"The social system that produces and preserves economic inequality",system of economic inequality,political_concept,approved,"The narrator identifies this system rather than poor offenders as the proper object of punishment."
sirukathaigal/pulinagam.md,tamil_to_english,புலிநகம்,"The concealed claw-shaped weapon associated with Shivaji's encounter with Afzal Khan",tiger claws,historical_weapon,approved,"Used as the title and in the final wordplay."
sirukathaigal/pulinagam.md,tamil_to_english,"பூதேவர் / பூசுரன்","Honorific compounds literally presenting Brahmins as earth-gods",Brahmin,caste_term,approved,"Translated functionally while the notes preserve the literal force."
sirukathaigal/pulinagam.md,tamil_to_english,ஆரியவர்த்தம்,"The ideological sacred territory invoked to persuade Gopinath",Aryavarta,political_religious_term,approved,"Retained in transliteration because the repeated term drives the persuasion."
sirukathaigal/pulinagam.md,tamil_to_english,சனாதனதர்மம்,"The eternal religious and social order invoked in Shivaji's appeal",Sanatana Dharma,religious_political_term,approved,"Retained by name."
sirukathaigal/pulinagam.md,tamil_to_english,"பசு பிராம்மணர் இரட்சகன்","Protector of cow and Brahmin as an ideological royal role",protector of the cow and the Brahmin,political_formula,approved,"Translated literally to preserve the source's critique."
sirukathaigal/pulinagam.md,tamil_to_english,பாதாரவிந்தம்,"Lotus feet used in reverential submission",lotus feet,devotional_honorific,approved,"Retained literally at Shivaji's grateful response."
sirukathaigal/pulinagam.md,tamil_to_english,"புலிநகம் / பூசுரனின் புன்னகை","Final sound-and-image contrast assigning causation beyond the weapon",tiger claws / the Brahmin's smile,central_wordplay,approved,"The English retains both concrete images and explains the caste term in notes."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,பள்ளியறை,"The divine couple's private room and the story's satirical setting",bedchamber,title_term,approved,"Rendered directly; Paramasivan is retained by name in the English title."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,"ஆலவாயப்பன் / சொக்கன் / கபாலி","Several localized or devotional names used for Siva",Aalavayappan / Sokkan / Kapali,divine_epithets,approved,"Transliterated because the accumulation of names motivates the opening joke."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,புலித்தோலாடையார்,"Comic-devotional epithet for Siva while he coaxes Parvati",the wearer of the tiger skin,divine_epithet,approved,"Translated literally to retain the playful register."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,"அபிஷேகம் / ஆராதனை","Temple rites Parvati offers as evidence of human devotion",ablutions / worship,ritual_terms,approved,"Rendered by function rather than left unexplained in Sanskrit-derived forms."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,மகாகனம்,"Colonial-era honorific applied to Srinivasa Sastri",Right Honourable,historical_honorific,provisional,"Conveys the elevated title; the precise formal English style of the source publication may merit bibliographic review."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,சுயமரியாதைப் பள்ளி,"Imagined rationalist re-education for puranic poets",Self-Respect school,political_movement_term,approved,"Capitalized to retain the reference to the Self-Respect movement."
sirukathaigal/palliyarayil_paramasivan.md,tamil_to_english,"சிவலிங்கம் சாட்சி சொல்வது ... சிவபதம் அடைவது","Closing catalogue of Saivite miracle traditions",catalogue of Saivite miracles,religious_allusions,contextual,"Images are translated literally without supplying unverified identifications of every hagiographic episode."
sirukathaigal/prasang_booshanam.md,tamil_to_english,பிரசங்க பூஷணம்,"Inflated title claimed by the verbose Pulavar Boologanathar",The Ornament of Oratory,title_irony,approved,"Both the honorific splendour and the comic contradiction are retained."
sirukathaigal/prasang_booshanam.md,tamil_to_english,"சிறுமதி உடையேன் / சிறுமதியுடையோன்","Pun between little intelligence and Siva bearing the little crescent moon",man of little intellect / bearer of the little moon,wordplay,approved,"The two readings are explained in the narrative because English cannot reproduce the identical phrase."
sirukathaigal/prasang_booshanam.md,tamil_to_english,நிந்தாஸ்துதி,"Praise expressed through language that appears abusive",praise through apparent abuse,rhetorical_term,approved,"Rendered descriptively in the body."
sirukathaigal/prasang_booshanam.md,tamil_to_english,அவையடக்கம்,"Conventional self-effacing preface before addressing an assembly",modest preface,oratorical_convention,approved,"The pulavar condemns it while prolonging it; that contradiction is preserved."
sirukathaigal/prasang_booshanam.md,tamil_to_english,"அந்தணர் / பிராமணர்","Deliberate distinction used to win approval from opposing constituencies",virtuous Brahmin / caste Brahmin,social_political_wordplay,contextual,"Anthanar is retained once in transliteration when the pulavar exposes his calculated distinction."
sirukathaigal/prasang_booshanam.md,tamil_to_english,"தாசி / முத்திரை வைபவம்","Chintamani's proposed dedication to the temple",dasi / temple-branding ceremony,historical_institution,contextual,"Period terminology is retained; the narrative treats the arrangement satirically."
sirukathaigal/prasang_booshanam.md,tamil_to_english,"நாட்டியக் கலையும் நாட்டு முன்னேற்றமும் / நாட்டியக் கலையின் கேடுகள்","Contradictory lecture subjects promised for the same Friday",The Art of Dance and the Progress of the Nation / The Evils of the Art of Dance,central_irony,approved,"Parallel titles are kept explicit to preserve the final reversal."
sirukathaigal/samayapurathamman.md,tamil_to_english,மானநஷ்ட வழக்கு,"Goddess frames loss of devotees as an actionable injury to reputation",defamation suit,legal_satire,approved,"Modern legal language is central to the religious monopoly satire."
sirukathaigal/samayapurathamman.md,tamil_to_english,மகஜர்,"Formal representation sent to government",petition,administrative_historical_term,approved,"Translated by function while the Tamil source retains its period form."
sirukathaigal/samayapurathamman.md,tamil_to_english,நடமாடும் கோயில்,"Self-Respect appeal to serve living human beings rather than shrines",walking temple / human being,rationalist_metaphor,approved,"The explanatory apposition is supplied in English without altering the Tamil source."
sirukathaigal/samayapurathamman.md,tamil_to_english,போட்டி சர்க்கார்,"Rival miracle shrine compared with a government challenging sovereign authority",rival government,political_metaphor,approved,"Retained literally because it structures the goddess's complaint."
sirukathaigal/samayapurathamman.md,tamil_to_english,புறத்தாக்குடி,"Village whose new healing cult draws Samayapuram devotees",Purathakudi,place_name,approved,"Transliterated consistently with the appended report."
sirukathaigal/samayapurathamman.md,tamil_to_english,சு.ம.க்காரர்கள்,"Abbreviated reference to Self-Respecters",Self-Respecters,political_movement_term,approved,"Expanded in English for clarity."
sirukathaigal/samayapurathamman.md,tamil_to_english,"புண்யஸ்தல உற்பத்தி","Sacred places treated as products in an economic-policy analogy",production of sacred places,economic_religious_satire,approved,"Literal commercial language preserves the closing argument about oversupply reducing value."
sirukathaigal/samayapurathamman.md,tamil_to_english,"மாதா கோயில்","Roman Catholic church dedicated to the Mother",church of the Mother,religious_historical_term,contextual,"Rendered descriptively; the appended report identifies the community as Roman Catholic."
sirukathaigal/sengarumbu.md,tamil_to_english,செங்கரும்பு,"Heroine's name and literal image of red sugarcane",Sengarumbu / Red Sugarcane,name_symbolism,approved,"Tamil name is retained throughout with a gloss in the English title."
sirukathaigal/sengarumbu.md,tamil_to_english,செட்டான குடித்தனம்,"Village praise for Chinnappan's economical household management",frugal household management,rural_social_idiom,approved,"Rendered by social meaning rather than literal compactness."
sirukathaigal/sengarumbu.md,tamil_to_english,"கிழமோ கிட்டோ","Cheap old or inferior replacement animal after selling the costly bull",some old or inferior animal,rural_colloquialism,contextual,"Exact second dialect word is uncertain; broad contextual sense is preserved."
sirukathaigal/sengarumbu.md,tamil_to_english,வந்தேமாதரம்,"Nickname earned by Varadappan through nationalist activism",Vande Mataram,political_nickname,approved,"Retained as the character's public title."
sirukathaigal/sengarumbu.md,tamil_to_english,"கரும்பு வெல்லமாயிற்று; கத்திரி கடன்காரனானான்","Parallel transformation after failed anti-mill economics",the cane became jaggery; Kattiri became a debtor,parallel_wordplay,approved,"The compact balance and bitter irony are retained."
sirukathaigal/sengarumbu.md,tamil_to_english,கண்ணாலம்,"Dialect form for marriage",marriage,rural_dialect,approved,"Translated by meaning while rural speech remains conversational."
sirukathaigal/sengarumbu.md,tamil_to_english,"என் வயத்திலே பால் வார்த்தயே","Singaram's relief on finding Sengarumbu alive",you have poured milk into my stomach,cultural_idiom,contextual,"Literal image is retained because it expresses overwhelming relief."
sirukathaigal/sengarumbu.md,tamil_to_english,"நானும் நல்லவனாயிட்டேன்","Kattiri describes the flood washing away his malice",I too have become a human being,moral_idiom,contextual,"Rendered idiomatically to emphasize ethical transformation rather than mere niceness."
sirukathaigal/kanni_vithavai.md,tamil_to_english,கன்னி விதவை,"Selli remains untouched in a formal marriage yet assumes widowhood after Somasundaram's death",virgin widow,title_paradox,approved,"The direct paradox is preserved because the final line resolves the title."
sirukathaigal/kanni_vithavai.md,tamil_to_english,"எடுப்பார் கைப்பிள்ளை","Parents reject the idea that their adult son was easily led by others",a child carried away by whoever picks him up,idiom,approved,"Expanded so the implication of impressionability remains clear."
sirukathaigal/kanni_vithavai.md,tamil_to_english,"கிழித்த கோட்டைத் தாண்டமாட்டான்","Kuthalalingam's boast of his son's obedience",never cross the line he drew,obedience_idiom,approved,"Literal line image retained."
sirukathaigal/kanni_vithavai.md,tamil_to_english,"நெடி / மணம்","Extended contrast between short-lived anger and enduring capacity to bear suffering",stench / fragrance,extended_metaphor,approved,"Repeated sensory contrast is retained throughout the analysis of change."
sirukathaigal/kanni_vithavai.md,tamil_to_english,"கல்லுருவம் / தெய்வம்","Selli first fears Somasundaram as stone and later calls him father",stone form / god,moral_transformation_metaphor,approved,"The statue-priest analogy prepares this reversal."
sirukathaigal/kanni_vithavai.md,tamil_to_english,தியாகத் திருத்தலம்,"Selli describes her relationship to Somasundaram as sacred filial sacrifice",sacred place of sacrifice,religious_metaphor,contextual,"Rendered literally because the household becomes a site of ethical worship in the dialogue."
sirukathaigal/kanni_vithavai.md,tamil_to_english,"மனம் உடைந்து தற்கொலை","False dying declaration written to shield Kuthalalingam from the shooting",broken-hearted suicide,legal_plot_device,approved,"Translated exactly as the scan-restored note."
sirukathaigal/kanni_vithavai.md,tamil_to_english,"மாறுதல்","Repeated subject of philosophical dialogue and moral ambiguity",change,central_concept,approved,"Kept consistently broad enough to cover form, character, growth, mixture, and removal."
sirukathaigal/maelathikari.md,tamil_to_english,மேலதிகாரி,"Title and recurring office hierarchy",superior officer,title_and_office_term,approved,"The formal phrase preserves the hierarchy central to the satire; 'boss' would be too casual."
sirukathaigal/maelathikari.md,tamil_to_english,"ஆமவடை / மோர் குழம்பு","Food supplied to an English superior as a route to promotion","appam-vadai / buttermilk curry",food_and_patronage,contextual,"Food names are transliterated where the exact first dish is OCR-sensitive; their patronage function is explained by the narrative."
sirukathaigal/maelathikari.md,tamil_to_english,பார்ப்பனரல்லாதார் இயக்கம்,"Historical political movement attacked in office conversations",Non-Brahmin Movement,historical_political_term,approved,"Capitalized as the established historical movement name."
sirukathaigal/maelathikari.md,tamil_to_english,சுடுமூஞ்சி,"Nickname given to Ulaganathar",Scowling Face,colloquial_epithet,approved,"Rendered as a compact visual nickname rather than literally as 'hot face.'"
sirukathaigal/maelathikari.md,tamil_to_english,சமதர்மம்,"Kodandan's article slogan and accusation of Communist sympathy",social equality,political_term,contextual,"The term can shade toward socialism; 'social equality' fits the slogan while the following charge explicitly names communism."
sirukathaigal/maelathikari.md,tamil_to_english,இன உணர்ச்சி,"Kodandan's Dravidian political awakening",consciousness of our people,historical_political_term,contextual,"Avoids the modern biological sense of 'racial consciousness' while preserving collective Dravidian identification."
